YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
2004,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2006,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2008,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2009,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2010,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2011,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2012,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2013,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2014,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2015,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2016,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2017,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2018,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2019,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
2020,,AMAU,,Amaui,Myadestes woahensis,MYAWOA,
1998,+,AMKI,,Amazon Kingfisher,Chloroceryle amazona,,*
2000,+,AMKI,,Amazon Kingfisher,Chloroceryle amazona,Chlama,*
2002,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,Chlama,
2004,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2006,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2008,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2009,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2010,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2011,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2012,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2013,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2014,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2015,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2016,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2017,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2018,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2019,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
2020,,AMKI,,Amazon Kingfisher,Chloroceryle amazona,CHLAMA,
1998,+,AMAV,,American Avocet,Recurvirostra americana,,*
2000,+,AMAV,,American Avocet,Recurvirostra americana,Recame,*
2002,,AMAV,,American Avocet,Recurvirostra americana,Recame,
2004,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2006,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2008,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2009,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2010,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2011,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2012,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
